SAMPL_TIME,COL,ROW,TIL,MIX,PND,INFIL_OZ.SEC,TOTRAD_oz,RADL_CM,Wd_Abn,Wd_Dn,Wd_Cov
Early,A,1,Tractor,null,5,NA,NA,NA,7,4,NA
Early,A,1,Tractor,null,6,NA,NA,NA,7,4,NA
Early,A,1,Tractor,null,7,NA,NA,NA,7,4,NA
Early,A,1,Tractor,null,10,NA,NA,NA,7,4,NA
Early,A,2,Tractor,pere,9,NA,NA,NA,6,4,NA
Early,A,2,Tractor,pere,7,NA,NA,NA,6,4,NA
Early,A,2,Tractor,pere,9,NA,NA,NA,6,4,NA
Early,A,2,Tractor,pere,8,NA,NA,NA,6,4,NA
Early,A,3,Tractor,wdsp,8,0.26,NA,NA,4,2,NA
Early,A,3,Tractor,wdsp,7,0.26,NA,NA,4,2,NA
Early,A,3,Tractor,wdsp,7,0.26,NA,NA,4,2,NA
Early,A,3,Tractor,wdsp,4,0.26,NA,NA,4,2,NA
Early,A,4,Roto,wdsp,4,1.7,NA,NA,4,2,NA
Early,A,4,Roto,wdsp,4,1.7,NA,NA,4,2,NA
Early,A,4,Roto,wdsp,4,1.7,NA,NA,4,2,NA
Early,A,4,Roto,wdsp,4,1.7,NA,NA,4,2,NA
Early,A,5,Roto,comp,4,NA,NA,NA,5,4,NA
Early,A,5,Roto,comp,3,NA,NA,NA,5,4,NA
Early,A,5,Roto,comp,3,NA,NA,NA,5,4,NA
Early,A,5,Roto,comp,4,NA,NA,NA,5,4,NA
Early,A,6,Roto,null,2,NA,NA,NA,5,3,NA
Early,A,6,Roto,null,3,NA,NA,NA,5,3,NA
Early,A,6,Roto,null,4,NA,NA,NA,5,3,NA
Early,A,6,Roto,null,3,NA,NA,NA,5,3,NA
Early,A,7,No,pere,2,NA,NA,NA,7,3,NA
Early,A,7,No,pere,2,NA,NA,NA,7,3,NA
Early,A,7,No,pere,2,NA,NA,NA,7,3,NA
Early,A,7,No,pere,3,NA,NA,NA,7,3,NA
Early,A,8,No,pere,2,NA,NA,NA,8,1,NA
Early,A,8,No,pere,3,NA,NA,NA,8,1,NA
Early,A,8,No,pere,3,NA,NA,NA,8,1,NA
Early,A,8,No,pere,3,NA,NA,NA,8,1,NA
Early,A,9,No,wdsp,5,0.37,NA,NA,4,2,NA
Early,A,9,No,wdsp,5,0.37,NA,NA,4,2,NA
Early,A,9,No,wdsp,6,0.37,NA,NA,4,2,NA
Early,A,9,No,wdsp,5,0.37,NA,NA,4,2,NA
Early,B,1,Tractor,comp,7,NA,NA,NA,8,5,NA
Early,B,1,Tractor,comp,12,NA,NA,NA,8,5,NA
Early,B,1,Tractor,comp,12,NA,NA,NA,8,5,NA
Early,B,1,Tractor,comp,8,NA,NA,NA,8,5,NA
Early,B,2,Tractor,wdsp,9,0.68,NA,NA,2,1,NA
Early,B,2,Tractor,wdsp,9,0.68,NA,NA,2,1,NA
Early,B,2,Tractor,wdsp,10,0.68,NA,NA,2,1,NA
Early,B,2,Tractor,wdsp,9,0.68,NA,NA,2,1,NA
Early,B,3,Tractor,comp,5,0.32,NA,NA,4,2,NA
Early,B,3,Tractor,comp,6,0.32,NA,NA,4,2,NA
Early,B,3,Tractor,comp,7,0.32,NA,NA,4,2,NA
Early,B,3,Tractor,comp,9,0.32,NA,NA,4,2,NA
Early,B,4,Roto,comp,5,NA,NA,NA,6,2,NA
Early,B,4,Roto,comp,5,NA,NA,NA,6,2,NA
Early,B,4,Roto,comp,5,NA,NA,NA,6,2,NA
Early,B,4,Roto,comp,5,NA,NA,NA,6,2,NA
Early,B,5,Roto,null,6,NA,NA,NA,6,4,NA
Early,B,5,Roto,null,5,NA,NA,NA,6,4,NA
Early,B,5,Roto,null,5,NA,NA,NA,6,4,NA
Early,B,5,Roto,null,4,NA,NA,NA,6,4,NA
Early,B,6,Roto,comp,6,NA,NA,NA,5,2,NA
Early,B,6,Roto,comp,6,NA,NA,NA,5,2,NA
Early,B,6,Roto,comp,6,NA,NA,NA,5,2,NA
Early,B,6,Roto,comp,5,NA,NA,NA,5,2,NA
Early,B,7,No,wdsp,5,0.55,NA,NA,1,2,NA
Early,B,7,No,wdsp,6,0.55,NA,NA,1,2,NA
Early,B,7,No,wdsp,5,0.55,NA,NA,1,2,NA
Early,B,7,No,wdsp,5,0.55,NA,NA,1,2,NA
Early,B,8,No,comp,4,NA,NA,NA,7,3,NA
Early,B,8,No,comp,3,NA,NA,NA,7,3,NA
Early,B,8,No,comp,3,NA,NA,NA,7,3,NA
Early,B,8,No,comp,4,NA,NA,NA,7,3,NA
Early,B,9,No,comp,2,NA,NA,NA,4,3,NA
Early,B,9,No,comp,5,NA,NA,NA,4,3,NA
Early,B,9,No,comp,5,NA,NA,NA,4,3,NA
Early,B,9,No,comp,3,NA,NA,NA,4,3,NA
Early,C,1,Tractor,wdsp,9,0.68,NA,NA,5,4,NA
Early,C,1,Tractor,wdsp,14,0.68,NA,NA,5,4,NA
Early,C,1,Tractor,wdsp,13,0.68,NA,NA,5,4,NA
Early,C,1,Tractor,wdsp,9,0.68,NA,NA,5,4,NA
Early,C,2,Tractor,null,10,NA,NA,NA,5,3,NA
Early,C,2,Tractor,null,9,NA,NA,NA,5,3,NA
Early,C,2,Tractor,null,7,NA,NA,NA,5,3,NA
Early,C,2,Tractor,null,9,NA,NA,NA,5,3,NA
Early,C,3,Tractor,pere,13,NA,NA,NA,5,3,NA
Early,C,3,Tractor,pere,13,NA,NA,NA,5,3,NA
Early,C,3,Tractor,pere,9,NA,NA,NA,5,3,NA
Early,C,3,Tractor,pere,6,NA,NA,NA,5,3,NA
Early,C,4,Roto,pere,6,NA,NA,NA,7,3,NA
Early,C,4,Roto,pere,5,NA,NA,NA,7,3,NA
Early,C,4,Roto,pere,4,NA,NA,NA,7,3,NA
Early,C,4,Roto,pere,4,NA,NA,NA,7,3,NA
Early,C,5,Roto,wdsp,4,1.3,NA,NA,1,2,NA
Early,C,5,Roto,wdsp,5,1.3,NA,NA,1,2,NA
Early,C,5,Roto,wdsp,5,1.3,NA,NA,1,2,NA
Early,C,5,Roto,wdsp,6,1.3,NA,NA,1,2,NA
Early,C,6,Roto,wdsp,5,0.86,NA,NA,4,2,NA
Early,C,6,Roto,wdsp,6,0.86,NA,NA,4,2,NA
Early,C,6,Roto,wdsp,7,0.86,NA,NA,4,2,NA
Early,C,6,Roto,wdsp,7,0.86,NA,NA,4,2,NA
Early,C,7,No,null,8,NA,NA,NA,6,2,NA
Early,C,7,No,null,9,NA,NA,NA,6,2,NA
Early,C,7,No,null,8,NA,NA,NA,6,2,NA
Early,C,7,No,null,7,NA,NA,NA,6,2,NA
Early,C,8,No,wdsp,4,0.21,NA,NA,6,2,NA
Early,C,8,No,wdsp,6,0.21,NA,NA,6,2,NA
Early,C,8,No,wdsp,6,0.21,NA,NA,6,2,NA
Early,C,8,No,wdsp,5,0.21,NA,NA,6,2,NA
Early,C,9,No,pere,4,NA,NA,NA,5,3,NA
Early,C,9,No,pere,4,NA,NA,NA,5,3,NA
Early,C,9,No,pere,4,NA,NA,NA,5,3,NA
Early,C,9,No,pere,4,NA,NA,NA,5,3,NA
Early,D,1,Tractor,pere,9,NA,NA,NA,7,4,NA
Early,D,1,Tractor,pere,9,NA,NA,NA,7,4,NA
Early,D,1,Tractor,pere,10,NA,NA,NA,7,4,NA
Early,D,1,Tractor,pere,9,NA,NA,NA,7,4,NA
Early,D,2,Tractor,comp,7,NA,NA,NA,6,3,NA
Early,D,2,Tractor,comp,6,NA,NA,NA,6,3,NA
Early,D,2,Tractor,comp,6,NA,NA,NA,6,3,NA
Early,D,2,Tractor,comp,12,NA,NA,NA,6,3,NA
Early,D,3,Tractor,null,6,NA,NA,NA,7,6,NA
Early,D,3,Tractor,null,7,NA,NA,NA,7,6,NA
Early,D,3,Tractor,null,12,NA,NA,NA,7,6,NA
Early,D,3,Tractor,null,10,NA,NA,NA,7,6,NA
Early,D,4,Roto,null,6,NA,NA,NA,7,3,NA
Early,D,4,Roto,null,6,NA,NA,NA,7,3,NA
Early,D,4,Roto,null,5,NA,NA,NA,7,3,NA
Early,D,4,Roto,null,4,NA,NA,NA,7,3,NA
Early,D,5,Roto,pere,5,2.3,NA,NA,7,2,NA
Early,D,5,Roto,pere,5,2.3,NA,NA,7,2,NA
Early,D,5,Roto,pere,7,2.3,NA,NA,7,2,NA
Early,D,5,Roto,pere,6,2.3,NA,NA,7,2,NA
Early,D,6,Roto,pere,7,NA,NA,NA,7,4,NA
Early,D,6,Roto,pere,5,NA,NA,NA,7,4,NA
Early,D,6,Roto,pere,7,NA,NA,NA,7,4,NA
Early,D,6,Roto,pere,6,NA,NA,NA,7,4,NA
Early,D,7,No,comp,7,NA,NA,NA,9,2,NA
Early,D,7,No,comp,6,NA,NA,NA,9,2,NA
Early,D,7,No,comp,7,NA,NA,NA,9,2,NA
Early,D,7,No,comp,7,NA,NA,NA,9,2,NA
Early,D,8,No,null,7,NA,NA,NA,9,4,NA
Early,D,8,No,null,6,NA,NA,NA,9,4,NA
Early,D,8,No,null,6,NA,NA,NA,9,4,NA
Early,D,8,No,null,6,NA,NA,NA,9,4,NA
Early,D,9,No,null,8,0.21,NA,NA,6,4,NA
Early,D,9,No,null,5,0.21,NA,NA,6,4,NA
Early,D,9,No,null,5,0.21,NA,NA,6,4,NA
Early,D,9,No,null,7,0.21,NA,NA,6,4,NA
Late,A,1,Tractor,null,5,0.21,NA,NA,7,4,NA
Late,A,1,Tractor,null,8,0.21,NA,NA,7,4,NA
Late,A,1,Tractor,null,8,0.21,NA,NA,7,4,NA
Late,A,1,Tractor,null,8,0.21,NA,NA,7,4,NA
Late,A,2,Tractor,pere,9,0.21,NA,NA,6,4,NA
Late,A,2,Tractor,pere,6,0.21,NA,NA,6,4,NA
Late,A,2,Tractor,pere,6,0.21,NA,NA,6,4,NA
Late,A,2,Tractor,pere,9,0.21,NA,NA,6,4,NA
Late,A,3,Tractor,wdsp,5,0.21,NA,NA,4,2,NA
Late,A,3,Tractor,wdsp,5,0.21,NA,NA,4,2,NA
Late,A,3,Tractor,wdsp,7,0.21,NA,NA,4,2,NA
Late,A,3,Tractor,wdsp,6,0.21,NA,NA,4,2,NA
Late,A,4,Roto,wdsp,6,0.21,NA,NA,4,2,NA
Late,A,4,Roto,wdsp,6,0.21,NA,NA,4,2,NA
Late,A,4,Roto,wdsp,6,0.21,NA,NA,4,2,NA
Late,A,4,Roto,wdsp,5,0.21,NA,NA,4,2,NA
Late,A,5,Roto,comp,5,0.27,2,6.9,5,4,NA
Late,A,5,Roto,comp,6,0.27,2,6.9,5,4,NA
Late,A,5,Roto,comp,4,0.27,2,6.9,5,4,NA
Late,A,5,Roto,comp,5,0.27,2,6.9,5,4,NA
Late,A,6,Roto,null,4,0.21,NA,NA,5,3,NA
Late,A,6,Roto,null,3,0.21,NA,NA,5,3,NA
Late,A,6,Roto,null,4,0.21,NA,NA,5,3,NA
Late,A,6,Roto,null,4,0.21,NA,NA,5,3,NA
Late,A,7,No,pere,2,0.21,NA,NA,7,3,NA
Late,A,7,No,pere,3,0.21,NA,NA,7,3,NA
Late,A,7,No,pere,2,0.21,NA,NA,7,3,NA
Late,A,7,No,pere,3,0.21,NA,NA,7,3,NA
Late,A,8,No,pere,4,0.21,NA,NA,8,1,NA
Late,A,8,No,pere,4,0.21,NA,NA,8,1,NA
Late,A,8,No,pere,3,0.21,NA,NA,8,1,NA
Late,A,8,No,pere,3,0.21,NA,NA,8,1,NA
Late,A,9,No,wdsp,5,0.21,NA,NA,4,2,NA
Late,A,9,No,wdsp,5,0.21,NA,NA,4,2,NA
Late,A,9,No,wdsp,6,0.21,NA,NA,4,2,NA
Late,A,9,No,wdsp,3,0.21,NA,NA,4,2,NA
Late,B,1,Tractor,comp,6,0.21,10,15.8,8,5,NA
Late,B,1,Tractor,comp,6,0.21,10,15.8,8,5,NA
Late,B,1,Tractor,comp,6,0.21,10,15.8,8,5,NA
Late,B,1,Tractor,comp,7,0.21,10,15.8,8,5,NA
Late,B,2,Tractor,wdsp,10,0.21,NA,NA,2,1,NA
Late,B,2,Tractor,wdsp,10,0.21,NA,NA,2,1,NA
Late,B,2,Tractor,wdsp,8,0.21,NA,NA,2,1,NA
Late,B,2,Tractor,wdsp,8,0.21,NA,NA,2,1,NA
Late,B,3,Tractor,comp,6,0.21,8,10.5,4,2,NA
Late,B,3,Tractor,comp,6,0.21,8,10.5,4,2,NA
Late,B,3,Tractor,comp,13,0.21,8,10.5,4,2,NA
Late,B,3,Tractor,comp,7,0.21,8,10.5,4,2,NA
Late,B,4,Roto,comp,6,0.21,6,NA,6,2,NA
Late,B,4,Roto,comp,5,0.21,6,NA,6,2,NA
Late,B,4,Roto,comp,6,0.21,6,NA,6,2,NA
Late,B,4,Roto,comp,6,0.21,6,NA,6,2,NA
Late,B,5,Roto,null,5,0.21,NA,NA,6,4,NA
Late,B,5,Roto,null,6,0.21,NA,NA,6,4,NA
Late,B,5,Roto,null,8,0.21,NA,NA,6,4,NA
Late,B,5,Roto,null,7,0.21,NA,NA,6,4,NA
Late,B,6,Roto,comp,5,0.21,13,12.4,5,2,NA
Late,B,6,Roto,comp,4,0.21,13,12.4,5,2,NA
Late,B,6,Roto,comp,6,0.21,13,12.4,5,2,NA
Late,B,6,Roto,comp,6,0.21,13,12.4,5,2,NA
Late,B,7,No,wdsp,5,0.21,NA,NA,1,2,NA
Late,B,7,No,wdsp,4,0.21,NA,NA,1,2,NA
Late,B,7,No,wdsp,5,0.21,NA,NA,1,2,NA
Late,B,7,No,wdsp,5,0.21,NA,NA,1,2,NA
Late,B,8,No,comp,3,0.21,13,14.2,7,3,NA
Late,B,8,No,comp,3,0.21,13,14.2,7,3,NA
Late,B,8,No,comp,3,0.21,13,14.2,7,3,NA
Late,B,8,No,comp,3,0.21,13,14.2,7,3,NA
Late,B,9,No,comp,3,0.21,11,13.2,4,3,NA
Late,B,9,No,comp,5,0.21,11,13.2,4,3,NA
Late,B,9,No,comp,4,0.21,11,13.2,4,3,NA
Late,B,9,No,comp,3,0.21,11,13.2,4,3,NA
Late,C,1,Tractor,wdsp,7,0.21,NA,NA,5,4,NA
Late,C,1,Tractor,wdsp,9,0.21,NA,NA,5,4,NA
Late,C,1,Tractor,wdsp,14,0.21,NA,NA,5,4,NA
Late,C,1,Tractor,wdsp,11,0.21,NA,NA,5,4,NA
Late,C,2,Tractor,null,12,0.21,NA,NA,5,3,NA
Late,C,2,Tractor,null,9,0.21,NA,NA,5,3,NA
Late,C,2,Tractor,null,7,0.21,NA,NA,5,3,NA
Late,C,2,Tractor,null,8,0.21,NA,NA,5,3,NA
Late,C,3,Tractor,pere,10,0.41,NA,NA,5,3,NA
Late,C,3,Tractor,pere,6,0.41,NA,NA,5,3,NA
Late,C,3,Tractor,pere,6,0.41,NA,NA,5,3,NA
Late,C,3,Tractor,pere,13,0.41,NA,NA,5,3,NA
Late,C,4,Roto,pere,4,0.21,NA,NA,7,3,NA
Late,C,4,Roto,pere,4,0.21,NA,NA,7,3,NA
Late,C,4,Roto,pere,5,0.21,NA,NA,7,3,NA
Late,C,4,Roto,pere,6,0.21,NA,NA,7,3,NA
Late,C,5,Roto,wdsp,5,0.67,NA,NA,1,2,NA
Late,C,5,Roto,wdsp,6,0.67,NA,NA,1,2,NA
Late,C,5,Roto,wdsp,6,0.67,NA,NA,1,2,NA
Late,C,5,Roto,wdsp,4,0.67,NA,NA,1,2,NA
Late,C,6,Roto,wdsp,5,0.6,NA,NA,4,2,NA
Late,C,6,Roto,wdsp,6,0.6,NA,NA,4,2,NA
Late,C,6,Roto,wdsp,7,0.6,NA,NA,4,2,NA
Late,C,6,Roto,wdsp,7,0.6,NA,NA,4,2,NA
Late,C,7,No,null,9,0.21,NA,NA,6,2,NA
Late,C,7,No,null,9,0.21,NA,NA,6,2,NA
Late,C,7,No,null,6,0.21,NA,NA,6,2,NA
Late,C,7,No,null,7,0.21,NA,NA,6,2,NA
Late,C,8,No,wdsp,4,0.21,NA,NA,6,2,NA
Late,C,8,No,wdsp,6,0.21,NA,NA,6,2,NA
Late,C,8,No,wdsp,3,0.21,NA,NA,6,2,NA
Late,C,8,No,wdsp,4,0.21,NA,NA,6,2,NA
Late,C,9,No,pere,2,0.21,NA,NA,5,3,NA
Late,C,9,No,pere,3,0.21,NA,NA,5,3,NA
Late,C,9,No,pere,3,0.21,NA,NA,5,3,NA
Late,C,9,No,pere,4,0.21,NA,NA,5,3,NA
Late,D,1,Tractor,pere,9,0.21,NA,NA,7,4,NA
Late,D,1,Tractor,pere,8,0.21,NA,NA,7,4,NA
Late,D,1,Tractor,pere,9,0.21,NA,NA,7,4,NA
Late,D,1,Tractor,pere,9,0.21,NA,NA,7,4,NA
Late,D,2,Tractor,comp,7,0.21,7,11,6,3,NA
Late,D,2,Tractor,comp,7,0.21,7,11,6,3,NA
Late,D,2,Tractor,comp,5,0.21,7,11,6,3,NA
Late,D,2,Tractor,comp,7,0.21,7,11,6,3,NA
Late,D,3,Tractor,null,5,0.21,NA,NA,7,6,NA
Late,D,3,Tractor,null,5,0.21,NA,NA,7,6,NA
Late,D,3,Tractor,null,6,0.21,NA,NA,7,6,NA
Late,D,3,Tractor,null,7,0.21,NA,NA,7,6,NA
Late,D,4,Roto,null,5,0.68,NA,NA,7,3,NA
Late,D,4,Roto,null,6,0.68,NA,NA,7,3,NA
Late,D,4,Roto,null,4,0.68,NA,NA,7,3,NA
Late,D,4,Roto,null,6,0.68,NA,NA,7,3,NA
Late,D,5,Roto,pere,4,0.86,NA,NA,7,2,NA
Late,D,5,Roto,pere,5,0.86,NA,NA,7,2,NA
Late,D,5,Roto,pere,5,0.86,NA,NA,7,2,NA
Late,D,5,Roto,pere,4,0.86,NA,NA,7,2,NA
Late,D,6,Roto,pere,5,0.31,NA,NA,7,4,NA
Late,D,6,Roto,pere,4,0.31,NA,NA,7,4,NA
Late,D,6,Roto,pere,8,0.31,NA,NA,7,4,NA
Late,D,6,Roto,pere,6,0.31,NA,NA,7,4,NA
Late,D,7,No,comp,5,0.8,11,11.7,9,2,NA
Late,D,7,No,comp,6,0.8,11,11.7,9,2,NA
Late,D,7,No,comp,5,0.8,11,11.7,9,2,NA
Late,D,7,No,comp,7,0.8,11,11.7,9,2,NA
Late,D,8,No,null,5,0.21,NA,NA,9,4,NA
Late,D,8,No,null,2,0.21,NA,NA,9,4,NA
Late,D,8,No,null,3,0.21,NA,NA,9,4,NA
Late,D,8,No,null,5,0.21,NA,NA,9,4,NA
Late,D,9,No,null,6,0.21,NA,NA,6,4,NA
Late,D,9,No,null,5,0.21,NA,NA,6,4,NA
Late,D,9,No,null,5,0.21,NA,NA,6,4,NA
Late,D,9,No,null,5,0.21,NA,NA,6,4,NA
Spring,A,1,Tractor,null,NA,NA,NA,NA,NA,NA,4
Spring,A,2,Tractor,pere,NA,NA,NA,NA,NA,NA,2
Spring,A,3,Tractor,wdsp,NA,NA,NA,NA,NA,NA,3
Spring,A,4,Roto,wdsp,NA,NA,NA,NA,NA,NA,1
Spring,A,5,Roto,comp,NA,NA,NA,NA,NA,NA,3
Spring,A,6,Roto,null,NA,NA,NA,NA,NA,NA,4
Spring,A,7,No,pere,NA,NA,NA,NA,NA,NA,4
Spring,A,8,No,pere,NA,NA,NA,NA,NA,NA,1
Spring,A,9,No,wdsp,NA,NA,NA,NA,NA,NA,2
Spring,B,1,Tractor,comp,NA,NA,NA,NA,NA,NA,3
Spring,B,2,Tractor,wdsp,NA,NA,NA,NA,NA,NA,1
Spring,B,3,Tractor,comp,NA,NA,NA,NA,NA,NA,1
Spring,B,4,Roto,comp,NA,NA,NA,NA,NA,NA,3
Spring,B,5,Roto,wdsp,NA,NA,NA,NA,NA,NA,4
Spring,B,6,Roto,comp,NA,NA,NA,NA,NA,NA,1
Spring,B,7,No,wdsp,NA,NA,NA,NA,NA,NA,1
Spring,B,8,No,comp,NA,NA,NA,NA,NA,NA,4
Spring,B,9,No,comp,NA,NA,NA,NA,NA,NA,1
Spring,C,1,Tractor,wdsp,NA,NA,NA,NA,NA,NA,1
Spring,C,2,Tractor,null,NA,NA,NA,NA,NA,NA,4
Spring,C,3,Tractor,pere,NA,NA,NA,NA,NA,NA,2
Spring,C,4,Roto,pere,NA,NA,NA,NA,NA,NA,2
Spring,C,5,Roto,wdsp,NA,NA,NA,NA,NA,NA,1
Spring,C,6,Roto,wdsp,NA,NA,NA,NA,NA,NA,2
Spring,C,7,No,null,NA,NA,NA,NA,NA,NA,2
Spring,C,8,No,wdsp,NA,NA,NA,NA,NA,NA,2
Spring,C,9,No,pere,NA,NA,NA,NA,NA,NA,4
Spring,D,1,Tractor,pere,NA,NA,NA,NA,NA,NA,2
Spring,D,2,Tractor,comp,NA,NA,NA,NA,NA,NA,3
Spring,D,3,Tractor,null,NA,NA,NA,NA,NA,NA,4
Spring,D,4,Roto,null,NA,NA,NA,NA,NA,NA,4
Spring,D,5,Roto,pere,NA,NA,NA,NA,NA,NA,2
Spring,D,6,Roto,pere,NA,NA,NA,NA,NA,NA,1
Spring,D,7,No,comp,NA,NA,NA,NA,NA,NA,3
Spring,D,8,No,null,NA,NA,NA,NA,NA,NA,3
Spring,D,9,No,null,NA,NA,NA,NA,NA,NA,3
